time,acc_x,acc_y,acc_z,local max
1408129715008,0.412577945183,8.10549490438,1.15556455806,0.0
1408129715010,-0.81714550662,7.66255800405,0.603667575782,0.0
1408129715034,-1.63806394455,8.19639101807,0.502332428216,0.0
1408129715035,-1.84713080943,9.37130044241,0.466289143405,0.0
1408129715051,-1.88272171812,9.99757433185,0.564758029457,0.0
1408129715051,-1.58954226145,9.70110059521,0.724714657175,0.0
1408129715066,-0.81411413568,9.02306617413,0.826931191448,0.0
1408129715070,0.0554117954001,8.51497088394,0.947982093716,0.0
1408129715082,0.798011066983,8.39487999387,0.892496223594,0.0
1408129715106,1.27031060982,8.15564457653,1.09633822956,0.0
1408129715107,1.55304076593,7.77217024148,1.34032176201,0.0
1408129715110,1.70262116023,7.23920748403,1.40534861101,0.0
1408129715142,1.79038825212,6.89030498089,1.36962602847,0.0
1408129715143,1.42502739398,6.93449645631,0.995166963134,0.0
1408129715144,0.97138128102,7.09539059907,0.521937382723,0.0
1408129715150,0.857252735893,7.27481260435,0.315249555261,0.0
1408129715185,0.763405337067,7.22037650798,0.600059963978,0.0
1408129715186,0.549991600433,7.18671752261,0.854448733536,0.0
1408129715190,0.00820923232451,7.19036711933,0.985149751492,0.0
1408129715222,-0.745829230302,7.61495023256,1.01300738649,0.0
1408129715223,-1.55539570306,8.52083767264,0.7986572192,0.0
1408129715223,-2.32408498318,8.65876174837,0.665481739965,0.0
1408129715225,-2.8674062426,8.36349058584,0.495116822871,0.0
1408129715230,-2.99828895505,8.05570320269,0.0831226999743,0.0
1408129715254,-2.68007148226,8.30158202807,-0.20863518436,0.0
1408129715254,-2.43680853415,8.54877362454,-0.0746886605454,0.0
1408129715262,-2.28061111133,8.669927724,0.27996234426,0.0
1408129715271,-2.11790695705,8.80660681732,0.549895241265,0.0
1408129715295,-2.32359336756,8.60516732722,0.497392317479,0.0
1408129715296,-2.67393616948,8.10866566031,0.0582212411796,0.0
1408129715302,-2.9671841195,7.59840491293,-0.426021627826,0.0
1408129715333,-3.19439605951,7.63374805191,-1.11372358386,0.0
1408129715334,-3.19451688087,8.14019387435,-1.56599295214,0.0
1408129715336,-3.05060128586,8.69437154365,-0.870012782611,0.0
1408129715368,-2.79051067469,9.37921275814,-0.137281144502,0.0
1408129715368,-2.99947668462,9.70968024903,0.98966352665,0.0
1408129715369,-3.91170663122,9.27797667314,1.41543460879,0.0
1408129715400,-4.71326087394,9.03181690482,0.288937600229,0.0
1408129715401,-4.26942771309,9.30999002355,-0.757352561852,0.0
1408129715402,-2.84764143751,10.0401095848,-0.914445572575,0.0
1408129715435,-1.90044041828,10.8639288302,-0.245471031869,0.0
1408129715435,-1.54928685083,11.5045073785,0.0357417998722,0.0
1408129715439,-0.942387653889,11.5356734129,0.292455968702,0.0
1408129715445,-0.634033359138,10.7783692891,1.3840066419,0.0
1408129715472,-0.917809361175,10.4616044834,1.48524242171,0.0
1408129715473,-1.0276906194,10.721760849,0.305228328445,0.0
1408129715473,-0.388692921397,10.3570846025,0.713621540155,0.0
1408129715474,1.01711085243,9.28283642424,1.71647371188,0.0
1408129715482,2.67802848142,8.27583813411,2.05120238644,0.0
1408129715507,3.36239202211,7.94774690853,2.25702731194,0.0
1408129715508,3.18641610604,8.7889028369,2.42019895315,0.0
1408129715510,3.44605646202,11.2443612973,2.08130493925,0.0
1408129715543,2.95689948675,15.5018432931,1.17787143914,0.0
1408129715544,2.92342539892,19.6573124778,1.20464528896,0.0
1408129715545,3.31228255589,20.0179341767,2.13801703436,20.0179341767
1408129715551,3.54606752413,19.0130955516,1.76125326936,0.0
1408129715577,3.46648203642,15.5099365921,0.00681725899316,0.0
1408129715577,3.19906187708,11.5552853156,-1.61254865001,0.0
1408129715584,2.31209043608,8.62492904393,-2.66853865424,0.0
1408129715604,2.31259140014,9.41015931259,-2.33197513031,0.0
1408129715605,2.39375412331,10.7456866555,-0.909176864389,0.0
1408129715610,1.29080524343,10.4230316554,-0.279390830135,0.0
1408129715635,0.240987913926,8.9360631232,-0.700548682468,0.0
1408129715635,-0.633940939498,8.38836381762,-1.25873023092,0.0
1408129715653,-1.16520855926,8.26605709433,-1.46076798496,0.0
1408129715654,-1.66532554543,7.88084709027,-1.04886083142,0.0
1408129715663,-2.1868776718,7.96174463279,-0.463436289276,0.0
1408129715690,-2.326152613,7.64701682056,0.17402938884,0.0
1408129715690,-2.23342100911,7.4090348445,0.159004731862,0.0
1408129715691,-1.77741196286,6.33925101234,-0.00931028426471,0.0
1408129715728,-1.17346495884,5.16872823356,-0.158087495618,0.0
1408129715729,-1.01250159245,4.47587411261,-0.466665245624,0.0
1408129715729,-0.85568537663,3.99780397102,-0.774820665993,0.0
1408129715731,-0.660490962222,3.787773636,-1.00148629184,0.0
1408129715754,-0.414117615346,3.95056760266,-1.15511333646,0.0
1408129715755,-0.353164239565,4.36669706372,-1.12214398098,0.0
1408129715765,-0.344033166953,4.87212867028,-0.939428867404,0.0
1408129715783,-0.268459664101,5.36111829846,-0.845941812747,0.0
1408129715783,-0.233310366983,5.76141040406,-0.875858786053,0.0
1408129715800,-0.36619261784,6.29886882656,-0.975689166214,0.0
1408129715802,-0.495276296712,6.86434613833,-1.10176678712,0.0
1408129715820,-0.548838462005,7.17795031654,-1.47832307224,0.0
1408129715823,-0.693668265228,7.52361378657,-2.07561983362,0.0
1408129715831,-1.00207366294,8.42996764462,-2.67910612201,0.0
1408129715855,-1.44663646755,9.93603227686,-2.47568731117,0.0
1408129715856,-1.52352098147,11.1079879394,-1.69392002267,0.0
